--Probe dump file for probe: org.yardstickframework.probes.ThroughputLatencyProbe@c709daf (class org.yardstickframework.probes.ThroughputLatencyProbe)
--Created Tue Aug 15 13:44:13 MSK 2017
--Benchmark config: BenchmarkConfiguration [memberId='-1', driverNames='[IgnitePutBenchmark]', serverName='IgniteNode', threads=1, duration=120, warmup=60, dfltProbeClsNames=[ThroughputLatencyProbe], propsFileName='modules/yardstick/config/ignite-localhost-config.xml', packages=[], cmdArgs=[-t, 1, -w, 60, -d, 120, -r, 100000, -dn, IgnitePutBenchmark, -sn, IgniteNode, -cfg, modules/yardstick/config/ignite-localhost-config.xml, -wom, PRIMARY, -pr, ThroughputLatencyProbe, -cl], probeWriter='null', customProps={}, shutdownHook=true, currentFolder=null, scriptsFolder=null, logsFolder=null, outputFolder=null, outputWriter=java.io.PrintStream@7471a2a5, errorWriter=java.io.PrintStream@7ab6525b, descriptions=null, hostName=]
--Description: IgnitePutBenchmark-nn=1-b=0-sm=PRIMARY_SYNC-cl=true-nc=false-txc=PESSIMISTIC-rd=20-rs=2-t=1-d=120-w=60
@@IgnitePutBenchmark
**"Time, sec","Operations/sec (more is better)","Latency, nsec (less is better)"
1502793914,6364.00,155837.28
1502793915,6558.00,153993.62
1502793916,6576.00,154524.22
1502793917,6531.00,152425.69
1502793918,6405.00,155331.06
1502793919,6372.00,156225.59
1502793920,7821.00,129146.58
1502793921,7568.00,131457.09
1502793922,7787.00,129322.10
1502793923,7933.00,127590.30
1502793924,7799.00,129842.61
1502793925,7741.00,128860.23
1502793926,7770.00,130310.09
1502793927,7936.00,128372.44
1502793928,7839.00,129089.47
1502793929,7898.00,128216.57
1502793930,7759.00,128599.90
1502793931,7484.00,133375.53
1502793932,6317.00,159100.01
1502793933,6633.00,152668.19
1502793934,7045.00,141586.89
1502793935,975.00,1024563.65
1502793936,2691.00,376450.93
1502793937,6059.00,164697.13
1502793938,6542.00,152526.65
1502793939,6620.00,150839.69
1502793940,6494.00,153602.30
1502793941,6746.00,151070.23
1502793942,6306.00,160511.68
1502793943,6566.00,151927.35
1502793944,6697.00,151216.31
1502793945,6693.00,151279.76
1502793946,6550.00,152523.08
1502793947,6567.00,154158.02
1502793948,6607.00,151038.85
1502793949,6746.00,150070.54
1502793950,6636.00,150423.43
1502793951,6799.00,149787.09
1502793953,6580.00,153827.63
1502793954,6626.00,150685.73
1502793955,6524.00,153158.88
1502793956,6377.00,158724.05
1502793957,6681.00,151583.58
1502793958,6676.00,149475.22
1502793959,7256.00,137580.41
1502793960,7725.00,129125.62
1502793961,7723.00,129213.44
1502793962,7948.00,127410.95
1502793963,7584.00,131533.02
1502793964,7919.00,127876.89
1502793965,8002.00,127317.06
1502793966,7840.00,129157.14
1502793967,7896.00,128180.15
1502793968,7725.00,129253.02
1502793969,7914.00,127958.06
1502793970,7798.00,128056.37
1502793971,7846.00,127257.08
1502793972,7836.00,127383.97
1502793973,7667.00,130087.15
1502793974,7336.00,136077.35
1502793975,7834.00,129245.79
1502793976,7878.00,128470.85
1502793977,7991.00,127544.00
1502793978,7895.00,128250.44
1502793979,7860.00,128845.71
1502793980,7993.00,126610.25
1502793981,7974.00,126952.19
1502793982,7760.00,128566.84
1502793983,7802.00,129642.74
1502793984,7579.00,131637.18
1502793985,7717.00,129560.74
1502793986,7419.00,134549.85
1502793987,7952.00,128126.53
1502793988,5716.00,174529.12
1502793989,5601.00,180683.40
1502793990,5590.00,178473.85
1502793991,5600.00,180670.72
1502793992,5488.00,181823.57
1502793993,7761.00,128543.60
1502793994,7783.00,128686.94
1502793995,7457.00,135609.53
1502793996,7658.00,130610.96
1502793997,7632.00,131044.87
1502793998,7657.00,130613.15
1502793999,7612.00,131420.32
1502794000,7601.00,131575.33
1502794001,7682.00,130194.38
1502794002,7476.00,133816.79
1502794003,7695.00,129929.04
1502794004,7803.00,128175.75
1502794005,7792.00,128355.65
1502794006,7795.00,128303.62
1502794007,7770.00,128708.50
1502794008,7563.00,132243.83
1502794009,7597.00,131665.22
1502794010,7035.00,141990.34
1502794011,7145.00,139966.88
1502794012,6707.00,149053.79
1502794013,6753.00,147928.30
1502794014,7272.00,137467.42
1502794015,7100.00,140815.41
1502794016,7352.00,136029.23
1502794017,7679.00,130256.61
1502794018,7681.00,130185.36
1502794019,7677.00,130227.55
1502794020,7742.00,129172.00
1502794021,7722.00,129526.35
1502794022,7687.00,130089.65
1502794023,7551.00,132444.98
1502794024,7519.00,132996.07
1502794025,7720.00,129556.25
1502794026,7716.00,129612.92
1502794027,7716.00,129622.69
1502794028,7749.00,129066.36
1502794029,7663.00,130483.73
1502794030,7664.00,130446.76
1502794031,7728.00,129419.03
1502794032,7720.00,129554.53
1502794033,7664.00,130498.37
